"zone_id","entity_id","npc_name","quest_name","status","source_url","reviewed_on","notes"
"230","17719569","Amutiyaal","Lure of the Wildcat (San d'Oria)","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Treasures of Aht Urhgan assumed enabled; no Whitegate travel required to accept."
"230","17719308","Andecia","Grave Concerns","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"230","17719328","Glenne","A Sentry's Peril","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"230","17719385","Hanaa Punaa","The Seamstress","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"230","17719496","Legata","Starting a Flame","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"230","17719532","Norejaie","Eco-Warrior (San d'Oria)","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fame 1; combat level cap is not an acceptance minimum; no active/completed Eco-Warrior on a fresh character."
"230","17719495","Parvipon","The Merchant's Bidding","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"230","17719386","Rosel","Rosel the Armorer","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"231","17723464","Abeaule","The Trader in the Forest","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"231","17723401","Ailbeche","Father and Son","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"231","17723433","Aurege","Exit the Gambler","verified","https://ffxiclopedia.fandom.com/wiki/Exit_the_Gambler","2026-09-09","Current quest page and LandSandBoat allow initial offer without The Pickpocket; both guild NPCs offer the same event."
"231","17723434","Guilberdrier","Exit the Gambler","verified","https://ffxiclopedia.fandom.com/wiki/Exit_the_Gambler","2026-09-09","Current quest page and LandSandBoat allow initial offer without The Pickpocket; both guild NPCs offer the same event."
"231","17723503","Kuu Mohzolhi","Growing Flowers","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"231","17723404","Miageau","Waters of the Cheval","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"231","17723552","Secodiand","Fear of the Dark","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"232","17727501","Antreneau","A Taste for Meat","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"232","17727504","Fontoumant","The Brugaire Consortium","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"232","17727611","Gallijaux","The Competition","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"232","17727612","Joulet","The Rivalry","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"232","17727495","Miene","The Pickpocket","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"232","17727502","Nogelle","Lufet's Lake Salt","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"232","17727507","Regine","Flyers for Regine","verified","https://ffxiclopedia.fandom.com/wiki/San_d%27Oria_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"234","17735703","Elki","Hearts of Mythril","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"234","17735693","Gerbaum","Minesweeper","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"234","17735754","Tami","Groceries","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"234","17735712","Titus","Fully Mental Alchemist","verified","https://www.bg-wiki.com/ffxi/Fully_Mental_Alchemist","2026-09-09","Available before past-area travel; completion requires Grauberg (S)."
"234","17735699","Wahid","The Siren's Tear","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"235","17739784","Aquillina","A Flash in the Pan","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"235","17739782","Arawn","Stamp Hunt","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"235","17739813","Brygid","Brygid the Stylist","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"235","17739842","Degenhard","The Bare Bones","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"235","17739843","Foss","Buckets of Gold","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"235","17739780","Malene","The Cold Light of Day","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"235","17739820","Michea","The Elvaan Goldsmith","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"235","17739826","Nbu Latteh","Mom, the Adventurer?","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"235","17739818","Offa","A Proper Burial","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fame 1 per reputation list; Wings of the Goddess assumed enabled; completion requires past-area travel."
"235","17739815","Salimah","Gourmet","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"236","17744039","Alib-Mufalib","Lure of the Wildcat (Bastok)","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Treasures of Aht Urhgan assumed enabled; no Whitegate travel required to accept."
"236","17743930","Benita","The Wisdom of Elders","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
"236","17743921","Corann","The Quadav's Curse","verified","https://ffxiclopedia.fandom.com/wiki/Bastok_Quests/Reputation_List","2026-09-09","Fresh character; fame 1; no prior quest or level prerequisite. Completion may require items or travel."
