object_name,material,super_flag,sub_flag,blend_flags,flags2,vert_stride,vert_count,index_count,map_refs
to-low05        ,model   e_yuka  ,64,441,0,0,36,142,229,1
to-low05        ,model   e_b_wall,64,441,0,0,36,38,83,1
to-low05        ,model   wall    ,64,441,0,0,36,183,311,1
to-low05        ,model   e_stone ,64,441,0,0,36,141,323,1
to-low05        ,model   sidestep,64,441,0,0,36,56,119,1
to-low05        ,model   wall    ,64,441,32768,0,36,38,71,1
to-low05        ,model   sidestep,64,441,32768,0,36,20,41,1
daientotul      ,model   e_wall  ,64,480,0,0,36,26,49,1
daientotul      ,model   e_si    ,64,480,0,0,36,325,635,1
daientotul      ,model   kama    ,64,480,0,0,36,195,371,1
daientotul      ,                ,64,480,0,0,36,6,6,1
daientotul      ,model   e_si    ,64,480,32768,0,36,15,23,1
daientotu-parts ,model   tetu_02 ,64,370,0,0,36,440,675,1
daientotu-parts ,model   tetu_03 ,64,370,0,0,36,70,111,1
daientotu-parts ,model   tetu_01 ,64,370,0,0,36,80,175,1
daientotur      ,model   e_si    ,64,480,0,0,36,373,653,1
daientotur      ,model   e_wall  ,64,480,0,0,36,16,20,1
daientotur      ,model   kama    ,64,480,0,0,36,157,275,1
daientotur      ,                ,64,480,0,0,36,9,14,1
daientotur      ,model   e_si    ,64,480,32768,0,36,15,27,1
daiza01         ,model   tetu_02 ,64,80,0,0,36,24,47,1
daiza01         ,model   tetu_05 ,64,80,0,0,36,106,187,1
daiza02         ,model   tetu_01 ,64,18,0,0,36,24,34,1
daiza02         ,model   mono_01 ,64,18,0,0,36,4,4,1
deadend02       ,                ,64,16,0,0,36,32,46,2
ent_c           ,model   e_yuka  ,64,134,0,0,36,12,25,1
ent_c           ,model   e_yuka  ,64,134,32768,0,36,66,111,1
ent_c           ,model   e_stone ,64,134,32768,0,36,8,10,1
ent_c           ,model   e_si    ,64,134,32768,0,36,107,165,1
ent_n           ,model   e_stone ,64,240,0,0,36,37,89,1
ent_n           ,model   e_yuka  ,64,240,0,0,36,12,14,1
ent_n           ,model   e_stone ,64,240,32768,0,36,220,499,1
ent_n           ,model   e_wall  ,64,240,32768,0,36,64,111,1
ent_n           ,model   e_yuka  ,64,240,32768,0,36,12,19,1
ent_s           ,model   e_stone ,64,240,0,0,36,37,64,1
