zone_id,zone_name,kind,name,referenced_segments,type_hex,codec,width,height,blend_flags,flags2,sub_flag,object_name,note
0,unknown,texture,model   yuka00  ,3,0xA1,3TXD,128,128,,,,,
0,unknown,texture,model   mr_j_d  ,1,0xA1,3TXD,128,128,,,,,
0,unknown,texture,model   mr_j_04 ,2,0xA1,3TXD,256,256,,,,,
0,unknown,texture,model   mr_j_03 ,1,0xA1,3TXD,128,256,,,,,
0,unknown,texture,model   mr_j_02 ,3,0xA1,3TXD,256,256,,,,,
0,unknown,texture,model   mr_j_01 ,3,0xA1,3TXD,256,256,,,,,
0,unknown,texture,model   m_obj_21,1,0xA1,3TXD,64,64,,,,,
0,unknown,texture,model   m_fgr_22,2,0xA1,3TXD,128,128,,,,,
0,unknown,texture,model   m_fgr_01,4,0xA1,3TXD,128,128,,,,,
0,unknown,texture,model   m_dsk_09,1,0xA1,3TXD,256,128,,,,,
0,unknown,texture,model   m_cst_19,1,0xA1,3TXD,128,128,,,,,
0,unknown,texture,model   m_cst_09,1,0xA1,3TXD,128,128,,,,,
0,unknown,texture,model   m_cst_06,1,0xA1,3TXD,128,64,,,,,
0,unknown,texture,model   m_bed_04,1,0xA1,3TXD,256,128,,,,,
0,unknown,texture,effect  lt      ,1,0xB1,,128,128,,,,,
0,unknown,segment,model   m_fgr_22,2,,,,,0x2000,0x0000,0x00000509,_kabin1         ,blend-high
0,unknown,segment,model   m_fgr_01,4,,,,,0x2000,0x0000,0x0000008D,retter          ,blend-high
0,unknown,segment,model   m_fgr_01,4,,,,,0x2000,0x0000,0x0000009F,m_fgr_01        ,blend-high
1,Phanauet Channel,texture,model   jag_kom ,2,0xA1,3TXD,128,128,,,,,
1,Phanauet Channel,texture,model   jug_ita ,13,0xA1,3TXD,256,256,,,,,
1,Phanauet Channel,texture,model   jug_riv ,73,0xA1,3TXD,512,256,,,,,
1,Phanauet Channel,texture,model   jug_wa01,41,0xA1,3TXD,512,512,,,,,
1,Phanauet Channel,texture,model   jug_wa02,4,0xA1,3TXD,256,128,,,,,
1,Phanauet Channel,texture,model   jug_wb01,8,0xA1,3TXD,512,256,,,,,
1,Phanauet Channel,texture,model   jug_wf  ,96,0xA1,3TXD,512,1024,,,,,
1,Phanauet Channel,texture,model   sekihi_1,3,0xA1,3TXD,128,256,,,,,
1,Phanauet Channel,texture,model   sekihi_2,1,0xA1,3TXD,128,128,,,,,
1,Phanauet Channel,texture,model   fu_wrope,3,0xA1,3TXD,64,32,,,,,
1,Phanauet Channel,texture,ship    fu_dai01,29,0xA1,3TXD,512,256,,,,,
1,Phanauet Channel,texture,ship    fu_dai02,9,0xA1,3TXD,512,256,,,,,
1,Phanauet Channel,texture,ship    fu_ir01 ,13,0xA1,3TXD,128,128,,,,,
1,Phanauet Channel,texture,ship    fu_ir02 ,2,0xA1,3TXD,128,64,,,,,
1,Phanauet Channel,texture,ship    fu_ki01 ,2,0xA1,3TXD,128,128,,,,,
1,Phanauet Channel,texture,ship    fu_ki02 ,2,0xA1,3TXD,128,64,,,,,
1,Phanauet Channel,texture,ship    fu_ko01 ,16,0xA1,3TXD,128,128,,,,,
1,Phanauet Channel,texture,ship    fu_wbox ,2,0xA1,3TXD,128,128,,,,,
1,Phanauet Channel,texture,ship    fu_wrope,1,0xA1,3TXD,64,32,,,,,
1,Phanauet Channel,texture,ship    fu_wtaru,2,0xA1,3TXD,64,32,,,,,
1,Phanauet Channel,texture,ship    suisya  ,1,0xA1,3TXD,128,256,,,,,
1,Phanauet Channel,texture,clod    clod_a01,2,0xA1,3TXD,256,256,,,,,
1,Phanauet Channel,texture,bird    tbitex  ,0,0xA1,3TXD,128,64,,,,,unreferenced
1,Phanauet Channel,texture,bird    awaskana,0,0xA1,3TXD,128,128,,,,,unreferenced
1,Phanauet Channel,texture,bird    birdtx  ,0,0xA1,3TXD,128,64,,,,,unreferenced
1,Phanauet Channel,texture,hotaru  hotaru  ,0,0xA1,3TXD,64,64,,,,,unreferenced
1,Phanauet Channel,texture,lf03    lf03    ,0,0xB1,,128,256,,,,,unreferenced
1,Phanauet Channel,texture,fine    fine_a01,1,0xB1,???,256,128,,,,,
1,Phanauet Channel,texture,bird    tbitex  ,0,0xA1,3TXD,128,64,,,,,unreferenced
1,Phanauet Channel,texture,bird    awaskana,0,0xA1,3TXD,128,128,,,,,unreferenced
1,Phanauet Channel,texture,bird    birdtx  ,0,0xA1,3TXD,128,64,,,,,unreferenced
1,Phanauet Channel,texture,hotaru  hotaru  ,0,0xA1,3TXD,64,64,,,,,unreferenced
1,Phanauet Channel,texture,lf02    lf02    ,0,0xB1,,128,256,,,,,unreferenced
1,Phanauet Channel,texture,moon    moonshap,0,0xA1,3TXD,256,256,,,,,unreferenced
1,Phanauet Channel,texture,moon    kasa    ,0,0xA1,3TXD,128,128,,,,,unreferenced
1,Phanauet Channel,texture,star    star01  ,2,0xA1,3TXD,64,64,,,,,
1,Phanauet Channel,texture,star    star02  ,4,0xA1,3TXD,128,128,,,,,
1,Phanauet Channel,texture,mist    clod_a01,2,0xA1,3TXD,256,256,,,,,
1,Phanauet Channel,texture,bird    tbitex  ,0,0xA1,3TXD,128,64,,,,,unreferenced
1,Phanauet Channel,texture,bird    awaskana,0,0xA1,3TXD,128,128,,,,,unreferenced
1,Phanauet Channel,texture,bird    birdtx  ,0,0xA1,3TXD,128,64,,,,,unreferenced
1,Phanauet Channel,texture,hotaru  hotaru  ,0,0xA1,3TXD,64,64,,,,,unreferenced
1,Phanauet Channel,texture,lf03    lf03    ,0,0xA1,3TXD,128,256,,,,,unreferenced
1,Phanauet Channel,texture,suny    suny_a01,2,0xB1,sqq,256,256,,,,,
1,Phanauet Channel,texture,bird    tbitex  ,0,0xA1,3TXD,128,64,,,,,unreferenced
1,Phanauet Channel,texture,bird    awaskana,0,0xA1,3TXD,128,128,,,,,unreferenced
1,Phanauet Channel,texture,bird    birdtx  ,0,0xA1,3TXD,128,64,,,,,unreferenced
1,Phanauet Channel,texture,hotaru  hotaru  ,0,0xA1,3TXD,64,64,,,,,unreferenced
1,Phanauet Channel,texture,star    star01  ,2,0xA1,3TXD,64,64,,,,,
1,Phanauet Channel,texture,star    star02  ,4,0xA1,3TXD,128,128,,,,,
1,Phanauet Channel,texture,moon    moonshap,0,0xA1,3TXD,256,256,,,,,unreferenced
1,Phanauet Channel,texture,moon    kasa    ,0,0xA1,3TXD,128,128,,,,,unreferenced
1,Phanauet Channel,texture,lf01    lf01    ,0,0xB1,,128,256,,,,,unreferenced
1,Phanauet Channel,texture,rain    rain_a01,4,0xA1,3TXD,256,256,,,,,
1,Phanauet Channel,texture,rain    rain_b01,0,0xA1,3TXD,128,128,,,,,unreferenced
1,Phanauet Channel,texture,thdr    clod_a01,3,0xA1,3TXD,256,256,,,,,
1,Phanauet Channel,texture,thdr    thunder1,2,0xA1,3TXD,128,64,,,,,
1,Phanauet Channel,texture,thdr    light   ,1,0xA1,3TXD,128,128,,,,,
1,Phanauet Channel,texture,hotaru  hotaru  ,0,0xA1,3TXD,64,64,,,,,unreferenced
1,Phanauet Channel,texture,shipefctsmawak  ,1,0xB1,>>>8,128,128,,,,,
1,Phanauet Channel,texture,shipefct2nami   ,1,0xB1,eVS ,128,128,,,,,
1,Phanauet Channel,texture,shipefct3nami   ,2,0xB1,c^W?,128,128,,,,,
1,Phanauet Channel,texture,shipefctdgsg    ,2,0xB1,????,128,128,,,,,
1,Phanauet Channel,texture,shipefctlampset ,2,0xB1,,64,64,,,,,
1,Phanauet Channel,texture,shipefctlights  ,2,0xB1,Jo?,64,64,,,,,
1,Phanauet Channel,texture,shipefct1nami   ,1,0xB1,,128,128,,,,,
1,Phanauet Channel,texture,ship    rinkawa ,2,0xB1,????,128,256,,,,,
1,Phanauet Channel,texture,ship    rinnaga ,2,0xB1,????,128,256,,,,,
1,Phanauet Channel,texture,shipefctawaskana,1,0xB1,,128,128,,,,,
1,Phanauet Channel,texture,sakana  ayuchan ,0,0xB1, ? ?,128,64,,,,,unreferenced
1,Phanauet Channel,texture,sakana  kira    ,0,0xB1,,64,32,,,,,unreferenced
1,Phanauet Channel,texture,otheefc taki    ,2,0xB1,ZN9h,128,128,,,,,
1,Phanauet Channel,texture,otheefc oudws   ,1,0xB1,3&??,128,128,,,,,
1,Phanauet Channel,texture,otheefc 2wav    ,2,0xB1,2+$,128,128,,,,,
1,Phanauet Channel,texture,bird    owltex  ,0,0xA1,3TXD,128,64,,,,,unreferenced
1,Phanauet Channel,texture,hebikun hebikun ,0,0xA1,3TXD,32,32,,,,,unreferenced
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000233,_jag_w03_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x0000025C,_jag_w01_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wb01,8,,,,,0x2000,0x0000,0x00000004,_jag_w01_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x000001CF,_jag_w02_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wb01,8,,,,,0x2000,0x0000,0x00000004,_jag_w02_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wb01,8,,,,,0x2000,0x0000,0x00000004,_jag_w03_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000116,_jag_w05_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000116,_jag_w06_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x000000B8,_jag_w06_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000088,_jag_w07_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000050,_jag_w07_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000078,_jag_w07d_h     ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x0000004C,_jag_w07d_m     ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000064,_jag_w08_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000034,_jag_w08_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000064,_jag_w08d_h     ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000034,_jag_w08d_m     ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000071,_jug_wk0_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000004,_jug_wk0_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x0000001C,_jug_wk1_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000004,_jug_wk1_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x0000003D,_jug_wk2_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000004,_jug_wk2_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000014,_jug_wk3_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000004,_jug_wk3_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x0000002E,_jug_wk4_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000004,_jug_wk4_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000024,_jug_wk5_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000004,_jug_wk5_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x0000004D,_jug_wk6_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000190,_jug_wm5        ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x0000013D,_jug_wm6        ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x0000011E,_jug_wm7        ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000014,_jug_ws1        ,blend-high
1,Phanauet Channel,segment,model   jug_wa01,41,,,,,0x2000,0x0000,0x00000014,_jug_ws2        ,blend-high
1,Phanauet Channel,segment,model   jug_wa02,4,,,,,0x2000,0x0000,0x00000038,_juk_w15_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa02,4,,,,,0x2000,0x0000,0x0000000C,_juk_w15_m      ,blend-high
1,Phanauet Channel,segment,model   jug_wa02,4,,,,,0x2000,0x0000,0x00000070,_juk_w16_h      ,blend-high
1,Phanauet Channel,segment,model   jug_wa02,4,,,,,0x2000,0x0000,0x00000018,_juk_w16_m      ,blend-high
1,Phanauet Channel,segment,model   jug_ita ,13,,,,,0x2000,0x0000,0x0000022E,jag_k_bhashi    ,blend-high
1,Phanauet Channel,segment,model   fu_wrope,3,,,,,0x2000,0x0000,0x0000022E,jag_k_bhashi    ,blend-high
1,Phanauet Channel,segment,model   sekihi_2,1,,,,,0x2000,0x0000,0x0000009C,jag_k_sekihi_2  ,blend-high
1,Phanauet Channel,segment,model   jug_ita ,13,,,,,0x2000,0x0000,0x00000586,jag_k_turi      ,blend-high
1,Phanauet Channel,segment,model   fu_wrope,3,,,,,0x2000,0x0000,0x00000586,jag_k_turi      ,blend-high
2,Carpenters' Landing,texture,model   gld_wm01,4,0xA1,3TXD,128,64,,,,,
2,Carpenters' Landing,texture,model   gld_wm02,3,0xA1,3TXD,128,128,,,,,
2,Carpenters' Landing,texture,model   gld_wm03,1,0xA1,3TXD,128,128,,,,,
2,Carpenters' Landing,texture,model   gld_wnet,15,0xA1,3TXD,256,256,,,,,
2,Carpenters' Landing,texture,model   guard_f ,5,0xA1,3TXD,128,128,,,,,
2,Carpenters' Landing,texture,model   jug_ita ,37,0xA1,3TXD,256,256,,,,,
2,Carpenters' Landing,texture,model   jug_riv ,34,0xA1,3TXD,512,256,,,,,
2,Carpenters' Landing,texture,model   jug_wa02,66,0xA1,3TXD,512,512,,,,,
2,Carpenters' Landing,texture,model   jug_wb01,15,0xA1,3TXD,512,256,,,,,
2,Carpenters' Landing,texture,model   jug_wf  ,75,0xA1,3TXD,512,1024,,,,,
2,Carpenters' Landing,texture,model   jug_wk01,24,0xA1,3TXD,128,128,,,,,
2,Carpenters' Landing,texture,model   jug_wk02,4,0xA1,3TXD,256,128,,,,,
2,Carpenters' Landing,texture,clod    clod_a01,2,0xA1,3TXD,256,256,,,,,
2,Carpenters' Landing,texture,hotaru  hotaru  ,0,0xA1,3TXD,64,64,,,,,unreferenced
2,Carpenters' Landing,texture,bird    awaskana,0,0xA1,3TXD,128,128,,,,,unreferenced
2,Carpenters' Landing,texture,bird    tbitex  ,0,0xA1,3TXD,128,64,,,,,unreferenced
2,Carpenters' Landing,texture,bird    birdtx  ,0,0xA1,3TXD,128,64,,,,,unreferenced
2,Carpenters' Landing,texture,lf03    lf03    ,0,0xB1,,128,256,,,,,unreferenced
2,Carpenters' Landing,texture,fine    fine_a01,1,0xB1,???,256,128,,,,,
2,Carpenters' Landing,texture,star_rivstar01  ,2,0xA1,3TXD,64,64,,,,,
2,Carpenters' Landing,texture,star_rivstar02  ,2,0xA1,3TXD,128,128,,,,,
2,Carpenters' Landing,texture,bird    awaskana,0,0xA1,3TXD,128,128,,,,,unreferenced
2,Carpenters' Landing,texture,bird    tbitex  ,0,0xA1,3TXD,128,64,,,,,unreferenced
2,Carpenters' Landing,texture,bird    birdtx  ,0,0xA1,3TXD,128,64,,,,,unreferenced
2,Carpenters' Landing,texture,hotaru  hotaru  ,0,0xA1,3TXD,64,64,,,,,unreferenced
2,Carpenters' Landing,texture,lf02    lf02    ,0,0xB1,,128,256,,,,,unreferenced
2,Carpenters' Landing,texture,moon    moonshap,0,0xA1,3TXD,256,256,,,,,unreferenced
2,Carpenters' Landing,texture,moon    kasa    ,0,0xA1,3TXD,128,128,,,,,unreferenced
2,Carpenters' Landing,texture,mist    clod_a01,2,0xA1,3TXD,256,256,,,,,
2,Carpenters' Landing,texture,hotaru  hotaru  ,0,0xA1,3TXD,64,64,,,,,unreferenced
2,Carpenters' Landing,texture,bird    awaskana,0,0xA1,3TXD,128,128,,,,,unreferenced
2,Carpenters' Landing,texture,bird    tbitex  ,0,0xA1,3TXD,128,64,,,,,unreferenced
