chunk_offset,name,type,width,height,bits_per_pal_color,codec,codec_norm,alpha_min,alpha_max,alpha_unique,alpha_zero,alpha_low_1_127,alpha_mid_128_254,alpha_opaque,dxt1_transparent_codes,alpha_note
8254976,model   cl      ,0xA1,512,256,32,3TXD,DXT3,0,136,9,80342,48069,2661,0,0,
8386144,model   con_f01c,0xA1,256,256,32,3TXD,DXT3,0,136,4,4490,30525,30521,0,0,
8451776,model   con_fgg1,0xA1,256,256,32,3TXD,DXT3,0,136,9,60920,4606,10,0,0,
8517408,model   con_frg1,0xA1,512,256,32,3TXD,DXT3,0,136,9,29284,54247,47541,0,0,
8648576,model   con_frg2,0xA1,128,256,32,3TXD,DXT3,119,136,2,0,16384,16384,0,0,
8681440,model   con_fro1,0xA1,512,256,32,3TXD,DXT3,0,136,9,48831,42651,39590,0,0,
8812608,model   con_fsg1,0xA1,512,512,32,3TXD,DXT3,0,136,9,15166,123840,123138,0,0,
9074848,model   con_h01c,0xA1,256,128,32,3TXD,DXT3,0,136,3,31310,631,827,0,0,
9107712,model   con_ho01,0xA1,128,128,32,3TXD,DXT3,119,136,2,0,8192,8192,0,0,
9124192,model   con_w03c,0xA1,256,256,32,3TXD,DXT3,0,136,3,24265,21459,19812,0,0,
9189824,model   con_wi1 ,0xA1,512,256,32,3TXD,DXT3,0,136,8,30392,51010,49670,0,0,
9320992,model   con_wk1 ,0xA1,256,256,32,3TXD,DXT3,119,136,2,0,32768,32768,0,0,
9386624,model   con_wk2 ,0xA1,256,128,32,3TXD,DXT3,119,136,2,0,16384,16384,0,0,
9419488,model   komono_1,0xA1,128,128,32,3TXD,DXT3,119,136,2,0,8195,8189,0,0,
9435968,model   komono_2,0xA1,128,64,32,3TXD,DXT3,119,136,2,0,4096,4096,0,0,
9444256,model   kon_dou1,0xA1,64,64,32,3TXD,DXT3,0,136,6,3820,210,66,0,0,
9448448,model   kon_zil ,0xA1,512,256,32,3TXD,DXT3,0,136,9,84045,36732,10295,0,0,
9579616,model   kon_zil2,0xA1,512,256,32,3TXD,DXT3,0,136,9,107295,19724,4053,0,0,
9710784,model   kon_zil3,0xA1,512,256,32,3TXD,DXT3,0,136,9,94197,31371,5504,0,0,
9841952,model   kusa_02c,0xA1,128,128,32,3TXD,DXT3,0,136,3,13215,1533,1636,0,0,
9858432,model   par_cwa1,0xA1,128,128,32,3TXD,DXT3,0,136,3,15328,528,528,0,0,
9874912,model   sek_k01c,0xA1,128,128,32,3TXD,DXT3,0,136,9,6100,5734,4550,0,0,
9891392,model   tak_w01c,0xA1,64,64,32,3TXD,DXT3,119,136,2,0,2048,2048,0,0,
13404528,bird    tobi01  ,0xA1,64,64,32,3TXD,DXT3,0,136,9,932,1628,1536,0,0,
13432640,ageha   tyo_01c ,0xA1,32,16,32,3TXD,DXT3,0,136,3,179,161,172,0,0,
13438592,batta   bat01c  ,0xA1,128,64,32,3TXD,DXT3,0,136,3,2692,2735,2765,0,0,
13454672,cyo     tyo_02c ,0xA1,32,16,32,3TXD,DXT3,0,136,3,157,174,181,0,0,
13478096,warp    zil_tele,0xA1,256,256,32,3TXD,DXT3,0,136,9,41375,20024,4137,0,0,
13572544,leaf    leaf01  ,0xA1,64,128,32,3TXD,DXT3,0,136,9,2784,3047,2361,0,0,
13583472,thdr    clod_a01,0xA1,256,256,32,3TXD,DXT3,102,136,3,0,59475,6061,0,0,
13649104,thdr    thunder1,0xA1,128,64,32,3TXD,DXT3,119,136,2,0,4096,4096,0,0,
13657392,thdr    thunder2,0xA1,128,64,32,3TXD,DXT3,119,136,2,0,4096,4096,0,0,
13704720,dust    suny_c01,0xA1,256,256,32,3TXD,DXT3,0,136,9,624,64198,714,0,0,
13770352,dust    dust00  ,0xA1,128,128,32,3TXD,DXT3,0,136,9,8873,7346,165,0,0,
13825392,moon    moonshap,0xA1,256,256,32,3TXD,DXT3,0,136,9,44785,13488,7263,0,0,
13891024,moon    kasa    ,0xA1,128,128,32,3TXD,DXT3,119,136,2,0,8192,8192,0,0,
13912288,lf01    lf01    ,0xB1,128,256,32,,,,,,,,,,,
13951200,clod    clod_a01,0xA1,256,256,32,3TXD,DXT3,102,136,3,0,59476,6060,0,0,
14049616,lf03    lf03    ,0xB1,128,256,32,,,,,,,,,,,
14089600,fine    fine_a01,0xB1,256,128,32,,,,,,,,,,,
14137280,moon    moonshap,0xA1,256,256,32,3TXD,DXT3,0,136,9,44785,13488,7263,0,0,
14202912,moon    kasa    ,0xA1,128,128,32,3TXD,DXT3,119,136,2,0,8192,8192,0,0,
14224176,lf02    lf02    ,0xB1,128,256,32,,,,,,,,,,,
14262656,star    star01  ,0xA1,64,64,32,3TXD,DXT3,51,68,2,0,4096,0,0,0,
14266848,star    star02  ,0xA1,128,128,32,3TXD,DXT3,255,255,1,0,0,0,16384,0,
14330608,mist    clod_a01,0xA1,256,256,32,3TXD,DXT3,102,136,3,0,59476,6060,0,0,
14429680,lf03    lf03    ,0xB1,128,256,32,,,,,,,,,,,
14468096,suny    suny_a01,0xB1,256,256,32,,,,,,,,,,,
14567824,lf01    lf01    ,0xB1,128,256,32,,,,,,,,,,,
14606096,moon    moonshap,0xA1,256,256,32,3TXD,DXT3,0,136,9,44785,13488,7263,0,0,
14671728,moon    kasa    ,0xA1,128,128,32,3TXD,DXT3,119,136,2,0,8192,8192,0,0,
14694096,star    star01  ,0xA1,64,64,32,3TXD,DXT3,51,68,2,0,4096,0,0,0,
14698288,star    star02  ,0xA1,128,128,32,3TXD,DXT3,255,255,1,0,0,0,16384,0,
