"Name","Category","Referenced","Offset","Size","Unknown"
"_bat01","Creature / Ambient Actor","False","13446880","4192","tshimono"
"cry_line02_h","Crystal / Telepoint / Collision Helpers","False","11252784","296368","tshimono"
"cry_line02_l","Crystal / Telepoint / Collision Helpers","False","11549152","72208","tshimono"
"cry_line02_m","Crystal / Telepoint / Collision Helpers","False","11621360","137632","tshimono"
"cry_line03_h","Crystal / Telepoint / Collision Helpers","False","11758992","293296","tshimono"
"cry_line03_l","Crystal / Telepoint / Collision Helpers","False","12052288","65904","tshimono"
"cry_line03_m","Crystal / Telepoint / Collision Helpers","False","12118192","130096","tshimono"
"hit_cry_p1_m","Crystal / Telepoint / Collision Helpers","False","12248288","80","tshimono"
"hit_cry_tome1","Crystal / Telepoint / Collision Helpers","False","13397136","80","tshimono"
"hit_cry_tome2","Crystal / Telepoint / Collision Helpers","False","13397216","80","tshimono"
"hit_cry_tome3","Crystal / Telepoint / Collision Helpers","False","13397296","80","tshimono"
"hit_warp01a","Crystal / Telepoint / Collision Helpers","False","12248368","80","tshimono"
"hit_warp01b","Crystal / Telepoint / Collision Helpers","False","12248448","80","tshimono"
"hitwall_cry02","Crystal / Telepoint / Collision Helpers","False","12248528","80","tshimono"
"hitwall_cry03","Crystal / Telepoint / Collision Helpers","False","12248608","80","tshimono"
"hitwall_x","Crystal / Telepoint / Collision Helpers","False","12248688","80","tshimono"
"waku_m","Crystal / Telepoint / Collision Helpers","False","12878272","85312","tshimono"
"warp","Crystal / Telepoint / Collision Helpers","False","13543728","496","tshimono"
"cld_fine_a01","Sky / Weather / Celestial","False","14123472","4352","tshimono"
"clod_a01","Sky / Weather / Celestial","False","13665680","24032","tshimono"
"clod_a01","Sky / Weather / Celestial","False","14016832","24032","tshimono"
"clod_a01","Sky / Weather / Celestial","False","14396240","24496","tshimono"
"dustl%>????}j?","Sky / Weather / Celestial","False","13814752","3888","tshimono"
"light01","Sky / Weather / Celestial","False","13689712","4160","tshimono"
"moonsphere","Sky / Weather / Celestial","False","13909696","2224","tshimono"
"moonsphere","Sky / Weather / Celestial","False","14221584","2224","tshimono"
"moonsphere","Sky / Weather / Celestial","False","14690400","2224","tshimono"
"stardust02","Sky / Weather / Celestial","False","14304112","24768","tshimono"
"stardust02","Sky / Weather / Celestial","False","14735552","24768","tshimono"
"stary?:?}???z","Sky / Weather / Celestial","False","14283328","20784","tshimono"
"stary?:?}???z","Sky / Weather / Celestial","False","14714768","20784","tshimono"
"sunsphere","Sky / Weather / Celestial","False","13694608","3424","tshimono"
"sunsphere","Sky / Weather / Celestial","False","13786832","3424","tshimono"
"sunsphere","Sky / Weather / Celestial","False","14040864","3424","tshimono"
"sunsphere","Sky / Weather / Celestial","False","14127824","3424","tshimono"
"sunsphere","Sky / Weather / Celestial","False","14420736","3424","tshimono"
"sunsphere","Sky / Weather / Celestial","False","14534736","3424","tshimono"
"suny_a01","Sky / Weather / Celestial","False","14538160","24496","tshimono"
"suny_c01","Sky / Weather / Celestial","False","13790256","24496","tshimono"
"thunder1","Sky / Weather / Celestial","False","13693872","368","tshimono"
"thunder2","Sky / Weather / Celestial","False","13694240","368","tshimono"
"_con_fu013_h","Structures / Props","False","9895584","150464","tshimono"
"_con_w03_m","Structures / Props","False","10231104","19312","tshimono"
"_con_w03nGG?t??","Structures / Props","False","10220560","10544","tshimono"
"_con_w04_h","Structures / Props","False","10250416","9536","tshimono"
"_con_w04_m","Structures / Props","False","10259952","5216","tshimono"
"_con_w05_h","Structures / Props","False","10265168","34160","tshimono"
"_con_w05_l","Structures / Props","False","10299328","15728","tshimono"
"_con_w05_m","Structures / Props","False","10315056","21248","tshimono"
"_con_w06_h","Structures / Props","False","10336304","20880","tshimono"
"_con_w06_m","Structures / Props","False","10357184","9616","tshimono"
"_con_w09_m","Structures / Props","False","10377312","5360","tshimono"
"con_","Structures / Props","False","11245344","2864","tshimono"
"con_?>M.$???53?","Structures / Props","False","11231840","2864","tshimono"
"con_baketu_m","Structures / Props","False","10668016","6080","tshimono"
"con_box_m","Structures / Props","False","10674096","10768","tshimono"
"con_fu02_h","Structures / Props","False","10701584","83952","tshimono"
"con_hemp_m","Structures / Props","False","10785536","3344","tshimono"
"con_koya_m","Structures / Props","False","10806608","15632","tshimono"
"con_mo_jo1_m","Structures / Props","False","10822240","61344","tshimono"
"con_oke_m","Structures / Props","False","10937056","5968","tshimono"
"con_ro_bra1_m","Structures / Props","False","10943024","35184","tshimono"
"con_ro_brb1_m","Structures / Props","False","10978208","32720","tshimono"
"con_ro_co1_m","Structures / Props","False","11010928","32272","tshimono"
"con_rosl}J??'?1?","Structures / Props","False","11080784","30512","tshimono"
"con_rosla_cob1_m","Structures / Props","False","11111296","28160","tshimono"
"con_taru_m","Structures / Props","False","11171424","8288","tshimono"
"con_w01_h","Structures / Props","False","11179712","14144","tshimono"
"con_w01_l","Structures / Props","False","11193856","6736","tshimono"
"con_w01_m","Structures / Props","False","11200592","8448","tshimono"
"con_w02_{?)?]","Structures / Props","False","11219920","4912","tshimono"
"con_w02_h","Structures / Props","False","11209040","7072","tshimono"
"con_w02_l","Structures / Props","False","11216112","3808","tshimono"
"con_w07_h","Structures / Props","False","11224832","7008","tshimono"
"con_w07_m","Structures / Props","False","11234704","3632","tshimono"
"con_w08_h","Structures / Props","False","11238336","7008","tshimono"
"con_w08_m","Structures / Props","False","11248208","3632","tshimono"
"con_zai_m","Structures / Props","False","11251840","944","tshimono"
"kabuse_m","Structures / Props","False","12248768","29440","tshimono"
"ro_isu01_h","Structures / Props","False","12842064","3328","tshimono"
"ro_isu02_h","Structures / Props","False","12845392","3328","tshimono"
"sekihi_ko","Structures / Props","False","12848720","12000","tshimono"
"takibi_01","Structures / Props","False","12865104","13168","tshimono"
"_h_r?6????
\:Q","Terrain / Roads / Cliffs / Rocks","False","10451168","20528","tshimono"
"_h_roa_co1_m","Terrain / Roads / Cliffs / Rocks","False","10382672","20592","tshimono"
"_h_roa_e1?E??2??","Terrain / Roads / Cliffs / Rocks","False","10403264","20528","tshimono"
"_h_roa_st1_m","Terrain / Roads / Cliffs / Rocks","False","10423792","16736","tshimono"
"_h_roasla_co1_m","Terrain / Roads / Cliffs / Rocks","False","10440528","10640","tshimono"
"_h_s_R8?x????gY?","Terrain / Roads / Cliffs / Rocks","False","10471696","18736","tshimono"
"_h_sla_coo1_m","Terrain / Roads / Cliffs / Rocks","False","10490432","14464","tshimono"
"_h_sla_do1_m","Terrain / Roads / Cliffs / Rocks","False","10504896","16704","tshimono"
"_h_sla_st1_m","Terrain / Roads / Cliffs / Rocks","False","10521600","16368","tshimono"
"_h_slab_joa1_m","Terrain / Roads / Cliffs / Rocks","False","10537968","17520","tshimono"
"_h_slab_job1_m","Terrain / Roads / Cliffs / Rocks","False","10555488","19952","tshimono"
"_h_slab_joc1_m","Terrain / Roads / Cliffs / Rocks","False","10575440","14144","tshimono"
"_h_slb_coi1_m","Terrain / Roads / Cliffs / Rocks","False","10589584","14032","tshimono"
"_h_slb_coo1_m","Terrain / Roads / Cliffs / Rocks","False","10603616","32400","tshimono"
"_h_slb_st1_m","Terrain / Roads / Cliffs / Rocks","False","10636016","24848","tshimono"
"con_ciwa_m","Terrain / Roads / Cliffs / Rocks","False","10684864","16720","tshimono"
"con_oiwa_m","Terrain / Roads / Cliffs / Rocks","False","10907152","29904","tshimono"
"con_ro_st1_m","Terrain / Roads / Cliffs / Rocks","False","11043200","37584","tshimono"
"con_rosla_st1_m","Terrain / Roads / Cliffs / Rocks","False","11139456","31968","tshimono"
"pl_fla_1_m","Terrain / Roads / Cliffs / Rocks","False","12278208","13312","tshimono"
"pl_flb_1_m","Terrain / Roads / Cliffs / Rocks","True","12291520","15616","tshimono"
"pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","True","12307136","28768","tshimono"
"pl_mob_coi2_m","Terrain / Roads / Cliffs / Rocks","False","12335904","23264","tshimono"
"pl_mob_coo1_m","Terrain / Roads / Cliffs / Rocks","True","12359168","31424","tshimono"
"pl_mob_st2_m","Terrain / Roads / Cliffs / Rocks","False","12422864","31472","tshimono"
"pl_mobana_coo1_m","Terrain / Roads / Cliffs / Rocks","False","12454336","24928","tshimono"
"pl_mobana_coo3_m","Terrain / Roads / Cliffs / Rocks","False","12479264","10512","tshimono"
"pl_mobsla_coo1_m","Terrain / Roads / Cliffs / Rocks","True","12489776","32448","tshimono"
"pl_mobsla_st1_m","Terrain / Roads / Cliffs / Rocks","True","12522224","30000","tshimono"
"pl_roa_br1_m","Terrain / Roads / Cliffs / Rocks","False","12552224","20432","tshimono"
"pl_roa_co1_m","Terrain / Roads / Cliffs / Rocks","True","12572656","20896","tshimono"
"pl_roa_ed1_m","Terrain / Roads / Cliffs / Rocks","False","12593552","18928","tshimono"
"pl_roa_st1_m","Terrain / Roads / Cliffs / Rocks","True","12612480","18752","tshimono"
"pl_roasla_st1_m","Terrain / Roads / Cliffs / Rocks","True","12650192","20704","tshimono"
"pl_sla_coi1_m","Terrain / Roads / Cliffs / Rocks","True","12670896","16864","tshimono"
"pl_sla_coo1_m","Terrain / Roads / Cliffs / Rocks","False","12687760","17200","tshimono"
"pl_sla_do1_m","Terrain / Roads / Cliffs / Rocks","True","12704960","16288","tshimono"
"pl_sla_st1_m","Terrain / Roads / Cliffs / Rocks","True","12721248","15696","tshimono"
"pl_slab_joa1_m","Terrain / Roads / Cliffs / Rocks","True","12736944","16496","tshimono"
"pl_slab_job1_m","Terrain / Roads / Cliffs / Rocks","True","12753440","16512","tshimono"
"pl_slab_joc1_m","Terrain / Roads / Cliffs / Rocks","True","12769952","17312","tshimono"
"pl_slb_st1_m","Terrain / Roads / Cliffs / Rocks","True","12824176","17888","tshimono"
"zil_iwa_1_m","Terrain / Roads / Cliffs / Rocks","False","12963584","10816","tshimono"
"zil_iwa_cob1_m","Terrain / Roads / Cliffs / Rocks","False","12991328","39632","tshimono"
"zil_iwa_cob1b_m","Terrain / Roads / Cliffs / Rocks","False","13030960","7168","tshimono"
"zil_iwa_sta1_m","Terrain / Roads / Cliffs / Rocks","False","13038128","18128","tshimono"
"zil_iwa_sta2_m","Terrain / Roads / Cliffs / Rocks","False","13056256","14992","tshimono"
