object_name,material,super_flag,sub_flag,blend_flags,flags2,vert_stride,vert_count,index_count,map_refs
pa_passage02    ,model   kabe    ,64,20,0,0,36,18,25,0
pa_passage02    ,model   jimenk_0,64,20,0,0,36,10,17,0
pa_passage02    ,model   jimeni_1,64,20,0,0,36,4,4,0
pa_passage02    ,model   kabe_2  ,64,20,0,0,36,4,4,0
_plant_01       ,model   san_w01c,64,116,8192,0,36,183,307,1
_plant_02       ,model   san_w01c,64,38,8192,0,36,76,112,2
_plant_03       ,model   ron_w01c,64,238,0,0,36,225,473,1
_plant_03       ,model   ron_w01c,64,238,8192,0,36,152,226,1
auc_annai       ,model   orkmado0,64,555,0,0,36,670,1165,0
auc_annai       ,model   arch    ,64,555,0,0,36,10,19,0
auc_annai       ,model   kabe    ,64,555,0,0,36,88,171,0
auc_annai       ,                ,64,555,0,0,36,12,17,0
auc_annai       ,model   kabe_2  ,64,555,0,0,36,54,99,0
auc_annai       ,model   jimeni_0,64,555,0,0,36,7,12,0
auc_board       ,model   wood1   ,64,20,0,0,36,22,49,0
auc_house       ,model   kabe_2  ,64,544,0,0,36,163,287,0
auc_house       ,model   kabe    ,64,544,0,0,36,162,361,0
auc_house       ,model   jimeni_1,64,544,0,0,36,51,91,0
auc_house       ,model   jimeni_0,64,544,0,0,36,247,427,0
auc_house       ,model   ido     ,64,544,0,0,36,48,70,0
auc_house       ,model   funsui  ,64,544,0,0,36,56,82,0
auc_house       ,model   kabe_1  ,64,544,0,0,36,20,37,0
auc_house       ,model   rerf4   ,64,544,0,0,36,29,45,0
auc_house_p1    ,model   orkmado0,64,701,0,0,36,571,1089,0
auc_house_p1    ,model   kabe_2  ,64,701,0,0,36,117,237,0
auc_house_p1    ,model   kabe    ,64,701,0,0,36,126,263,0
auc_house_p1    ,                ,64,701,0,0,36,12,17,0
auc_house_p1    ,model   jimeni_1,64,701,0,0,36,36,62,0
auc_house_p1    ,model   jimeni_0,64,701,0,0,36,54,87,0
auc_house_p1    ,model   kabe_0  ,64,701,0,0,36,9,19,0
auc_house_p1    ,model   kabe_1  ,64,701,0,0,36,9,14,0
auc_house_p2    ,model   jimeni_1,64,50,0,0,36,21,39,0
auc_house_p2    ,model   jimeni_0,64,50,0,0,36,27,43,0
auc_house_p2    ,model   kabe    ,64,50,0,0,36,9,19,0
auc_house_p2    ,model   kabe_2  ,64,50,0,0,36,20,35,0
auc_saku01      ,model   wood1   ,64,76,0,0,36,102,205,0
auc_saku02      ,model   wood1   ,64,126,0,0,36,162,303,1
auc_saku03      ,model   wood1   ,64,126,0,0,36,162,309,0
board_armor01   ,model   kannban0,64,108,0,0,36,115,173,0
board_armor01   ,model   mark_01 ,64,108,32768,0,36,6,6,0
board_armor02   ,model   kannban0,64,118,0,0,36,122,219,0
board_armor02   ,model   mark_01 ,64,118,32768,0,36,10,25,0
board_armor03   ,model   komono0 ,64,94,0,0,36,144,227,1
board_armor03   ,model   mark_01 ,64,94,32768,0,36,4,4,1
board_delivery  ,model   komono0 ,64,94,0,0,36,144,227,0
board_delivery  ,model   mark_01 ,64,94,32768,0,36,4,4,0
board_dish01    ,model   kannban0,64,108,0,0,36,112,170,0
board_dish01    ,model   mark_01 ,64,108,32768,0,36,6,6,0
board_dish02    ,model   kannban0,64,118,0,0,36,142,239,0
board_dish02    ,model   mark_01 ,64,118,32768,0,36,10,25,0
board_dish03    ,model   komono0 ,64,94,0,0,36,144,227,0
board_dish03    ,model   mark_01 ,64,94,32768,0,36,4,4,0
board_gild01    ,model   kannban0,64,144,0,0,36,124,205,0
board_gild01    ,model   mark_01 ,64,144,32768,0,36,16,38,0
board_gild03    ,model   komono0 ,64,102,0,0,36,152,243,0
board_gild03    ,model   mark_01 ,64,102,32768,0,36,4,4,0
board_goods01   ,model   kannban0,64,108,0,0,36,113,170,0
board_goods01   ,model   mark_01 ,64,108,32768,0,36,6,6,0
board_goods02   ,model   kannban0,64,118,0,0,36,142,239,0
board_goods02   ,model   mark_01 ,64,118,32768,0,36,10,25,0
board_goods03   ,model   komono0 ,64,94,0,0,36,144,227,0
board_goods03   ,model   mark_01 ,64,94,32768,0,36,4,4,0
board_myroom01  ,model   kannban0,64,38,0,0,36,38,83,0
board_myroom01  ,model   mark_01 ,64,38,32768,0,36,4,4,0
board_pub01     ,model   komono2 ,64,30,0,0,36,4,4,0
board_pub01     ,model   kannban0,64,30,0,0,36,28,55,0
board_pub01     ,model   mark_01 ,64,30,32768,0,36,4,4,0
board_pub03     ,model   komono0 ,64,94,0,0,36,144,231,0
board_pub03     ,model   mark_01 ,64,94,32768,0,36,4,4,0
board_weapon01  ,model   kannban0,64,108,0,0,36,113,170,0
board_weapon01  ,model   mark_01 ,64,108,32768,0,36,6,6,0
board_weapon02  ,model   kannban0,64,118,0,0,36,142,239,0
board_weapon02  ,model   mark_01 ,64,118,32768,0,36,10,25,0
board_weapon03  ,model   komono0 ,64,94,0,0,36,145,224,0
board_weapon03  ,model   mark_01 ,64,94,32768,0,36,4,4,0
chocobo         ,model   ido     ,64,2216,0,0,36,50,87,0
chocobo         ,model   gaitou  ,64,2216,0,0,36,18,31,0
chocobo         ,model   komono2 ,64,2216,0,0,36,6,6,0
chocobo         ,model   shpmado0,64,2216,0,0,36,237,401,0
chocobo         ,model   kannban0,64,2216,0,0,36,24,30,0
chocobo         ,model   saku0   ,64,2216,0,0,36,102,173,0
chocobo         ,model   wood0   ,64,2216,0,0,36,722,1303,0
chocobo         ,model   renga   ,64,2216,0,0,36,257,399,0
chocobo         ,model   yane_0  ,64,2216,0,0,36,283,553,0
chocobo         ,model   jimenk_0,64,2216,0,0,36,327,627,0
chocobo         ,model   kabe_1  ,64,2216,0,0,36,378,687,0
chocobo         ,model   funsui  ,64,2216,0,0,36,55,97,0
chocobo         ,model   wood1   ,64,2216,0,0,36,463,689,0
chocobo         ,model   rerf2   ,64,2216,0,0,36,14,23,0
chocobo         ,model   kabe_2  ,64,2216,0,0,36,34,42,0
chocobo         ,model   rerf4   ,64,2216,0,0,36,72,165,0
chocobo         ,model   arch    ,64,2216,0,0,36,20,33,0
chocobo         ,model   orkmado0,64,2216,0,0,36,12,14,0
