object_name,material,super_flag,sub_flag,blend_flags,flags2,vert_stride,vert_count,index_count,map_refs
tobi1           ,tobi    tobi01  ,64,132,8192,0,36,123,303,0
tobi2           ,tobi    tobi01  ,64,132,8192,0,36,124,303,0
1winramp        ,                ,64,60,0,0,36,80,118,0
2winramp        ,                ,64,8,0,0,36,16,22,0
hana-lt         ,                ,64,158,0,0,36,231,391,0
myrm02          ,                ,64,336,0,0,36,260,617,0
mr_l_01         ,                ,64,19,0,0,36,21,38,0
hana-lt         ,                ,64,158,0,0,36,231,391,0
holight         ,                ,64,152,0,0,36,184,315,0
gylight         ,                ,64,144,0,0,36,178,325,0
msylt           ,                ,64,120,0,0,36,116,259,0
cylight         ,                ,64,100,0,0,36,111,245,0
mllight         ,                ,64,104,0,0,36,120,249,0
ringwt          ,riv     umi02   ,64,160,0,0,36,48,109,0
ringwt          ,riv     umi02   ,64,160,32768,0,36,192,349,0
07wtmsr         ,riv     riv01   ,64,59,0,0,36,68,127,0
10wtmsr         ,riv     riv01   ,64,38,0,0,36,46,89,0
1taki           ,riv     mz01    ,64,80,32768,0,36,72,157,0
2col            ,                ,64,80,0,0,36,72,157,0
rgcoin          ,                ,64,160,0,0,36,112,178,0
04wtmsr         ,riv     riv01   ,64,79,0,0,36,88,179,0
wthand          ,riv     riv01   ,64,92,0,0,36,110,205,0
awan            ,riv     abuk    ,64,2,0,0,36,4,4,0
07wcol          ,                ,64,59,0,0,36,42,99,0
10wcol          ,                ,64,38,0,0,36,28,69,0
wthcol          ,                ,64,80,0,0,36,60,129,0
04wcol          ,                ,64,79,0,0,36,53,129,0
ltring          ,                ,64,324,0,0,36,352,543,0
clod_a01        ,clod    clod_a01,64,668,0,0,36,117,211,0
clod_a01        ,clod    clod_a01,64,668,32768,0,36,493,975,0
sunsphere       ,                ,64,144,0,0,36,81,186,0
cld_fine_a01    ,fine    fine_a01,64,128,0,0,36,108,158,0
sunsphere       ,                ,64,144,0,0,36,81,186,0
star            ,star    star01  ,64,172,0,0,36,516,1029,0
stardust02      ,star    star02  ,64,330,0,0,36,613,1275,0
moonsphere      ,                ,64,80,0,0,36,49,157,0
clod_a01        ,mist    clod_a01,64,668,0,0,36,117,211,0
clod_a01        ,mist    clod_a01,64,668,32768,0,36,493,975,0
sunsphere       ,                ,64,144,0,0,36,81,186,0
sunsphere       ,                ,64,144,0,0,36,81,186,0
suny_a01        ,suny    suny_a01,64,668,0,0,36,117,211,0
suny_a01        ,suny    suny_a01,64,668,32768,0,36,493,975,0
moonsphere      ,                ,64,80,0,0,36,49,157,0
star            ,star    star01  ,64,172,0,0,36,516,1029,0
stardust02      ,star    star02  ,64,330,0,0,36,613,1275,0
_win_m01_t      ,model   win_m01c,64,144,0,0,36,98,146,0
_win_m01_t      ,model   win_m01c,64,144,8192,0,36,99,189,0
_wi_kikabe      ,model   wi_mori ,64,4,0,0,36,6,6,1
_wi_kusa01      ,model   win_ku02,64,0,8192,0,48,28,42,1
_wi_kusa01      ,model   win_ku01,64,0,8192,0,48,28,42,1
_wi_wood        ,model   win_w01c,64,308,8192,0,36,513,811,0
_win_m01_h      ,model   win_m01c,64,202,0,0,36,196,385,0
_win_m01_h      ,model   win_m01c,64,202,8192,0,36,56,78,0
_win_m02        ,model   win_m02c,64,0,0,0,48,451,882,0
_win_m02        ,model   win_m02c,64,0,8192,0,48,88,132,0
_win_w03l       ,model   win_w01c,64,137,0,0,36,123,269,1
_win_w03l       ,model   win_w01c,64,137,8192,0,36,112,166,1
_win_w04l       ,model   win_w01c,64,72,0,0,36,49,101,9
_win_w04l       ,model   win_w01c,64,72,8192,0,36,60,88,9
_win_w05l       ,model   win_w01c,64,101,0,0,36,68,125,5
_win_w05l       ,model   win_w01c,64,101,8192,0,36,112,166,5
wi_z_jmp02      ,model   t_win07d,64,82,0,0,36,91,193,0
wi_z_jmp02      ,model   t_win09d,64,82,0,0,36,10,15,0
wi_z_jmp02      ,model   t_win00d,64,82,32768,0,36,7,9,0
wi_z_jmp02      ,model   t_win07d,64,82,32768,0,36,16,22,0
wi_z_jmp01      ,model   t_win07d,64,240,0,0,36,122,215,0
wi_z_jmp01      ,model   t_win00d,64,240,0,0,36,64,96,0
wi_z_jmp01      ,model   t_win09d,64,240,0,0,36,98,195,0
wi_z_jmp01      ,model   t_win07d,64,240,32768,0,36,67,107,0
wi_z_jmp01      ,model   t_win00d,64,240,32768,0,36,45,91,0
wi_r_tukue      ,model   t_win12d,64,188,0,0,36,75,161,1
wi_r_tukue      ,model   t_win03d,64,188,0,0,36,96,119,1
wi_r_tukue      ,model   t_win28d,64,188,0,0,36,48,62,1
wi_r_tukue      ,model   t_win12d,64,188,8192,0,36,12,21,1
wi_r_tuitate    ,model   t_win12d,64,272,0,0,36,311,471,0
wi_r_tubo       ,model   t_win12d,64,102,0,0,36,78,145,0
wi_r_tana       ,model   t_win12d,64,502,0,0,36,487,821,1
wi_r_tana       ,model   t_win03d,64,502,0,0,36,12,16,1
wi_r_tana       ,model   t_win14d,64,502,0,0,36,66,103,1
wi_r_ramp       ,model   t_win12d,64,90,0,0,36,85,143,0
wi_r_ramp       ,model   t_win11d,64,90,0,0,36,61,113,0
wi_r_pict       ,model   t_win12d,64,24,0,0,36,48,70,0
wi_r_oke        ,model   t_win12d,64,56,0,0,36,59,153,1
wi_r_komo03     ,model   t_win12d,64,79,0,0,36,53,127,0
wi_r_komo03     ,model   t_win11d,64,79,0,0,36,9,16,0
wi_r_komo03     ,                ,64,79,0,0,36,4,4,0
wi_r_komo02     ,model   t_win12d,64,92,0,0,36,128,267,0
wi_r_komo02     ,model   t_win11d,64,92,0,0,36,8,12,0
wi_r_komo02     ,                ,64,92,0,0,36,3,3,0
wi_r_komo01     ,model   t_win12d,64,93,0,0,36,139,269,0
wi_r_komo01     ,model   t_win11d,64,93,0,0,36,8,12,0
