"Race","Source","Dat","Schedule","ChunkIndex","Offset","Size","Tokens","MotionRefs","OtherRefs"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","cafa","3","576","192","ms0,hwmg,nefa","ms0","hwmg,nefa"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ls11","4","768","272","lc11,stgc,eigc,gc2","gc2","lc11,stgc,eigc"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ls10","5","1040","272","lc10,stgh,eigh,gh2","gh2","lc10,stgh,eigh"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lc11","6","1312","288","stgc,negc,gc0,gc1","gc0,gc1","stgc,negc"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lc10","7","1600","288","stgh,negh,gh0,gh1","gh0,gh1","stgh,negh"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shge","8","1888","144","waso","","waso"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","cage","9","2032","128","","",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","@tr0","10","2160","192","wlk,idl","wlk,idl",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lc00","11","2352","224","sk1,vsng","sk1","vsng"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","init","12","2576","128","hwpc","","hwpc"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","@tl0","13","2704","192","wlk,idl","wlk,idl",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","gurd","14","2896","144","","",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","damg","15","3040","208","chit,sdam,vdam","","chit,sdam,vdam"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","chit","16","3248","144","se h,ef h","","se h,ef h"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","sway","17","3392","128","vswy","","vswy"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","dead","18","3520","240","ded,vded,cor","ded,cor","vded"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","pop0","19","3760","176","init","","init"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","corp","20","3936","160","cor","cor",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","res1","21","4096","160","rx1","rx1",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","res0","22","4256","224","rx0,rx1","rx0,rx1",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shwh","23","4480","192","hwmg,stwh,eis4,sswh,wash","","hwmg,stwh,eis4,sswh,wash"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shbk","24","4672","192","hwmg,stbk,eis3,ssbk,wash","","hwmg,stbk,eis3,ssbk,wash"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ssbk","25","4864","192","mb1,mb2","mb1,mb2",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ssit","26","5056","192","mi2,mi3","mi2,mi3",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","sswh","27","5248","192","mw1,mw2","mw1,mw2",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ssso","28","5440","192","mw1,mw2","mw1,mw2",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lhit","29","5632","144","eflg,selg","","eflg,selg"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ldam","30","5776","208","lhit,sdam,vdam","","lhit,sdam,vdam"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ls06","31","5984","240","lc06,yu2,kalg,ldad,lgot","yu2","lc06,kalg,ldad,lgot"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lc06","32","6224","224","yu0,lgin,yu1","yu0,yu1","lgin"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ls04","33","6448","272","lc04,hwso,na2,kalg,ldad,chlg,lgot","na2","lc04,hwso,kalg,ldad,chlg,lgot"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lc04","34","6720","224","na0,lgin,na1","na0,na1","lgin"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ls03","35","6944","240","lc03,gu2,kalg,ldad,lgot","gu2","lc03,kalg,ldad,lgot"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lc03","36","7184","224","gu0,lgin,gu1","gu0,gu1","lgin"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shso","37","7408","176","stso,eis6,waso","","stso,eis6,waso"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","caso","38","7584","144","ner5","","ner5"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ls00","39","7728","224","lc00,sk2","sk2","lc00"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lc05","40","7952","224","na0,lgin,na1","na0,na1","lgin"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ls05","41","8176","240","lc05,hwso,na3,kalg,ldad","na3","lc05,hwso,kalg,ldad"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","pary","42","8416","144","","",""
