chunk_offset,chunk_size,object_name,super_index,sub_index,material,sub_flag,vert_stride,vert_count,index_count,blend_flags,flags2,alpha_min,alpha_max,alpha_unique,color_samples,uv_bounds,bounds
18304,912,window          ,0,0,                ,22,36,19,43,0,0,0,128,6,"[(128, 128, 128, 0), (128, 128, 128, 43), (128, 128, 128, 53), (128, 128, 128, 81), (128, 128, 128, 98), (128, 128, 128, 128)]","(0.0, 1.0, 0.0, 1.0)","(-0.12911300361156464, 3.000000106112566e-06, -0.0, 0.46430501341819763, 1.0728130340576172, 0.8315349817276001)"
124320,141536,sea01           ,0,0,sea     sea01   ,2512,36,3638,5213,32768,0,0,128,40,"[(128, 128, 128, 0), (128, 128, 128, 32), (128, 128, 128, 45), (128, 128, 128, 46), (128, 128, 128, 48), (128, 128, 128, 53), (128, 128, 128, 55), (128, 128, 128, 59)]","(0.0, 0.0, 1.0, 1.0)","(-40.0, -0.0, -49.599998474121094, 40.0, -0.0, -2.0)"
265856,22160,sea_col         ,0,0,                ,983,36,530,1465,0,0,0,112,16,"[(128, 128, 128, 0), (128, 128, 128, 16), (128, 128, 128, 24), (128, 128, 128, 32), (128, 128, 128, 47), (128, 128, 128, 49), (128, 128, 128, 55), (128, 128, 128, 64)]","(0.0, 1.0, 0.0, 1.0)","(-38.400001525878906, -0.0, -49.400001525878906, 38.400001525878906, -0.0, -2.2999989986419678)"
288016,141536,sea02           ,0,0,sea     sea02   ,2512,36,3638,5213,32768,0,0,128,40,"[(128, 128, 128, 0), (128, 128, 128, 32), (128, 128, 128, 45), (128, 128, 128, 46), (128, 128, 128, 48), (128, 128, 128, 53), (128, 128, 128, 55), (128, 128, 128, 59)]","(0.0, 0.0, 1.0, 1.0)","(-40.0, -0.0, -49.599998474121094, 40.0, -0.0, -2.0)"
469360,1920,kamome01        ,0,0,bird    kamome01,29,36,25,53,8192,0,127,128,2,"[(128, 128, 128, 127), (128, 128, 128, 128)]","(0.0, 0.265625, 0.984375, 0.984375)","(-0.375, -0.79373699426651, -0.1095070019364357, 0.3020550012588501, -0.5754259824752808, 0.10950399935245514)"
469360,1920,kamome01        ,0,1,bird    kamome01,29,36,19,27,40960,0,125,128,3,"[(128, 128, 128, 125), (128, 128, 128, 127), (128, 128, 128, 128)]","(0.015625, 0.0, 1.0, 0.796875)","(-0.4181379973888397, -1.1758899688720703, -0.5234479904174805, 0.1143999993801117, -0.5711960196495056, 0.5234429836273193)"
471280,1920,kamome02        ,0,0,bird    kamome01,29,36,25,53,8192,0,127,128,2,"[(128, 128, 128, 127), (128, 128, 128, 128)]","(0.0, 0.265625, 0.984375, 0.984375)","(-0.375, -0.749987006187439, -0.12200599908828735, 0.3020550012588501, -0.5754259824752808, 0.12200400233268738)"
471280,1920,kamome02        ,0,1,bird    kamome01,29,36,19,27,40960,0,125,128,3,"[(128, 128, 128, 125), (128, 128, 128, 127), (128, 128, 128, 128)]","(0.015625, 0.0, 1.0, 0.796875)","(-0.4181379973888397, -0.749987006187439, -0.5984479784965515, 0.059849999845027924, -0.5248469710350037, 0.5984429717063904)"
3406304,2304,himono02        ,0,0,model   sel_kmn3,48,36,54,109,0,0,255,255,1,"[(77, 77, 77, 255), (89, 89, 89, 255), (115, 115, 115, 255)]","(0.72265625, 0.00390625, 0.74609375, 0.49609375)","(-0.014142000116407871, -0.014142000116407871, -3.964060068130493, 0.014142000116407871, 0.0990620031952858, 0.5)"
3408608,12816,_ami01          ,0,0,model   sel_kmn3,368,36,231,469,0,0,255,255,1,"[(59, 59, 59, 255), (64, 64, 64, 255), (89, 89, 89, 255), (102, 102, 102, 255), (128, 128, 128, 255)]","(0.00390625, 0.19140625, 0.49609375, 0.99609375)","(-1.3310699462890625, -2.680030107498169, -2.6784300804138184, 1.0181200504302979, -2.547300100326538, -0.27240800857543945)"
3408608,12816,_ami01          ,0,1,model   sel_kmn4,368,36,82,217,32768,0,126,126,1,"[(59, 59, 59, 126), (64, 64, 64, 126), (89, 89, 89, 126), (102, 102, 102, 126)]","(0.0078125, 0.0078125, 0.9921875, 0.9921875)","(-1.3310699462890625, -2.680030107498169, -2.6784300804138184, 1.0181200504302979, -2.547300100326538, -0.47202199697494507)"
3421424,12768,_ami02          ,0,0,model   sel_kmn3,368,36,230,465,0,0,255,255,1,"[(89, 89, 89, 255), (102, 102, 102, 255), (128, 128, 128, 255)]","(0.00390625, 0.19140625, 0.49609375, 0.99609375)","(-1.3310699462890625, -2.680030107498169, -2.6078999042510986, 0.9974049925804138, -2.490950107574463, -0.27240800857543945)"
3421424,12768,_ami02          ,0,1,model   sel_kmn4,368,36,82,217,32768,0,126,126,1,"[(89, 89, 89, 126), (102, 102, 102, 126), (128, 128, 128, 126)]","(0.0078125, 0.0078125, 0.9921875, 0.9921875)","(-1.3310699462890625, -2.680030107498169, -2.6078999042510986, 0.9974049925804138, -2.490950107574463, -0.47202199697494507)"
3434192,12784,_ami03          ,0,0,model   sel_kmn3,368,36,229,465,0,0,255,255,1,"[(89, 89, 89, 255), (102, 102, 102, 255), (128, 128, 128, 255)]","(0.00390625, 0.19140625, 0.49609375, 0.99609375)","(-1.3310699462890625, -2.680030107498169, -2.577699899673462, 0.9974049925804138, -2.4317800998687744, -0.27240800857543945)"
3434192,12784,_ami03          ,0,1,model   sel_kmn4,368,36,83,223,32768,0,126,126,1,"[(89, 89, 89, 126), (102, 102, 102, 126), (128, 128, 128, 126)]","(0.0078125, 0.0078125, 0.9921875, 0.9921875)","(-1.3310699462890625, -2.680030107498169, -2.577699899673462, 0.9974049925804138, -2.4317800998687744, -0.47202199697494507)"
3446976,624,_himono03       ,0,0,model   sel_kmn2,8,36,12,25,0,0,255,255,1,"[(77, 77, 77, 255), (102, 102, 102, 255), (128, 128, 128, 255)]","(0.732421875, 0.625, 0.9296875, 0.9765625)","(-0.001500000013038516, -0.4726240038871765, -0.1998089998960495, 0.001500000013038516, 0.4726240038871765, 0.1998089998960495)"
