zone_id,zone_name,lsb_zone_enum,official_region_id,official_region_enum,official_region_name,lore_region,note
0,unknown,MONORAIL_PRE_RELEASE,255,UNKNOWN,Unknown / no official region,Internal / Unused,Pre-release demonstration zone; no normal lore region.
1,Phanauet Channel,PHANAUET_CHANNEL,2,NORVALLEN,Norvallen,Norvallen,
2,Carpenters' Landing,CARPENTERS_LANDING,2,NORVALLEN,Norvallen,Norvallen,
3,Manaclipper,MANACLIPPER,6,KOLSHUSHU,Kolshushu,Kolshushu,
4,Bibiki Bay,BIBIKI_BAY,6,KOLSHUSHU,Kolshushu,Kolshushu,
5,Uleguerand Range,ULEGUERAND_RANGE,9,VALDEAUNIA,Valdeaunia,Valdeaunia,
6,Bearclaw Pinnacle,BEARCLAW_PINNACLE,9,VALDEAUNIA,Valdeaunia,Valdeaunia,
7,Attohwa Chasm,ATTOHWA_CHASM,7,ARAGONEU,Aragoneu,Aragoneu,
8,Boneyard Gully,BONEYARD_GULLY,7,ARAGONEU,Aragoneu,Aragoneu,
9,Pso'Xja,PSOXJA,8,FAUREGANDI,Fauregandi,Fauregandi,
10,The Shrouded Maw,THE_SHROUDED_MAW,8,FAUREGANDI,Fauregandi,Fauregandi,
11,Oldton Movalpolos,OLDTON_MOVALPOLOS,17,MOVALPOLOS,Movalpolos,Movalpolos,
12,Newton Movalpolos,NEWTON_MOVALPOLOS,17,MOVALPOLOS,Movalpolos,Movalpolos,
13,Mine Shaft #2716,MINE_SHAFT_2716,17,MOVALPOLOS,Movalpolos,Movalpolos,
14,Hall of Transference,HALL_OF_TRANSFERENCE,25,PROMYVION,Promyvion,Promyvion,
15,Abyssea - Konschtat,ABYSSEA_KONSCHTAT,41,ABYSSEA,Abyssea,Abyssea,
16,Promyvion - Holla,PROMYVION_HOLLA,25,PROMYVION,Promyvion,Promyvion,
17,Spire of Holla,SPIRE_OF_HOLLA,25,PROMYVION,Promyvion,Promyvion,
18,Promyvion - Dem,PROMYVION_DEM,25,PROMYVION,Promyvion,Promyvion,
19,Spire of Dem,SPIRE_OF_DEM,25,PROMYVION,Promyvion,Promyvion,
20,Promyvion - Mea,PROMYVION_MEA,25,PROMYVION,Promyvion,Promyvion,
21,Spire of Mea,SPIRE_OF_MEA,25,PROMYVION,Promyvion,Promyvion,
22,Promyvion - Vahzl,PROMYVION_VAHZL,25,PROMYVION,Promyvion,Promyvion,
23,Spire of Vahzl,SPIRE_OF_VAHZL,25,PROMYVION,Promyvion,Promyvion,
24,Lufaise Meadows,LUFAISE_MEADOWS,255,TAVNAZIA,Tavnazian Archipelago,Tavnazian Archipelago,
