zone_id,zone_name,model_dat,chunk_index,chunk_offset,chunk_name,chunk_type,chunk_size,payload_size,material,valid_type25,parse_reason,header_words,vertex_count,triangles,bad_triangles,pos_ofs,attr_ofs,uv_ofs,index_ofs,pos_min_x,pos_max_x,pos_min_y,pos_max_y,pos_min_z,pos_max_z,uv_min_u,uv_max_u,uv_min_v,uv_max_v,first_ascii
1,Phanauet Channel,ROM3/0/0.DAT,311,0x414910,tobi,0x25,20528,20512,bird    tbitex,no,bad_index_range,0001 0005 0054 01A7 4954 0091 34F0 3BBC,423,0,0,145,13552,15292,18772,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,342,0x41D030,fbir,0x25,19104,19088,bird    birdtx,no,bad_index_range,0001 0005 0053 0174 440C 008A 30A4 371C,372,0,0,138,12452,14108,17420,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,375,0x42D080,lf03,0x21,4448,4432,lf03    lf03,,,0000 001A 1A01 001B 666C 3330 2020 2020 666C 3330 2020 2020,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,447,0x4465C0,tobi,0x25,20528,20512,bird    tbitex,no,bad_index_range,0001 0005 0054 01A7 4954 0091 34F0 3BBC,423,0,0,145,13552,15292,18772,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,478,0x44ECE0,fbir,0x25,19104,19088,bird    birdtx,no,bad_index_range,0001 0005 0053 0174 440C 008A 30A4 371C,372,0,0,138,12452,14108,17420,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,511,0x45ED30,lf02,0x21,3136,3120,lf02    lf02,,,0000 0012 1201 0013 666C 3230 2020 2020 666C 3230 2020 2020,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,520,0x473FC0,moon,0x21,1824,1808,moon    moonshap,,,0001 000C 0C00 000C 6F6D 6E6F 2020 2020 6F6D 6E6F 6873 7061,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,521,0x4746E0,molf,0x21,368,352,moon    kasa,,,0000 0002 0201 0002 6F6D 6E6F 2020 2020 616B 6173 2020 2020,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,605,0x4B2D90,tobi,0x25,20528,20512,bird    tbitex,no,bad_index_range,0001 0005 0054 01A7 4954 0091 34F0 3BBC,423,0,0,145,13552,15292,18772,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,636,0x4BB4B0,fbir,0x25,19104,19088,bird    birdtx,no,bad_index_range,0001 0005 0053 0174 440C 008A 30A4 371C,372,0,0,138,12452,14108,17420,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,669,0x4CB110,lf03,0x21,2816,2800,lf03    lf03,,,0000 0010 1001 0011 666C 3330 2020 2020 666C 3330 2020 2020,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,742,0x4F0FA0,tobi,0x25,20528,20512,bird    tbitex,no,bad_index_range,0001 0005 0054 01A7 4954 0091 34F0 3BBC,423,0,0,145,13552,15292,18772,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,773,0x4F96C0,fbir,0x25,19104,19088,bird    birdtx,no,bad_index_range,0001 0005 0053 0174 440C 008A 30A4 371C,372,0,0,138,12452,14108,17420,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,821,0x52E610,moon,0x21,1824,1808,moon    moonshap,,,0001 000C 0C00 000C 6F6D 6E6F 2020 2020 6F6D 6E6F 6873 7061,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,822,0x52ED30,molf,0x21,368,352,moon    kasa,,,0000 0002 0201 0002 6F6D 6E6F 2020 2020 616B 6173 2020 2020,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,828,0x537D10,lf01,0x21,2976,2960,lf01    lf01,,,0000 0011 1101 0012 666C 3130 2020 2020 666C 3130 2020 2020,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,840,0x54CFB0,rain,0x21,192,176,rain    rain_b01,,,0001 0001 0100 0101 6172 6E69 2020 2020 6172 6E69 625F 3130,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,841,0x54D070,smok,0x21,192,176,rain    rain_b01,,,0001 0001 0100 0101 6172 6E69 2020 2020 6172 6E69 625F 3130,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,923,0x5C31E0,chob,0x21,192,176,sakana  kira,,,0000 0001 0100 0001 6173 616B 616E 2020 696B 6172 2020 2020,,,,,,,,,,,,,,,,,,
1,Phanauet Channel,ROM3/0/0.DAT,924,0x5C32A0,ayuc,0x25,18096,18080,sakana  ayuchan,no,bad_index_range,0001 0004 0066 0165 3F5C 009B 2990 30D4,357,0,0,155,10640,12500,16220,,,,,,,,,,,
2,Carpenters' Landing,ROM3/0/1.DAT,413,0x809130,tobi,0x25,20528,20512,bird    tbitex,no,bad_index_range,0001 0005 0054 01A7 4954 0091 34F0 3BBC,423,0,0,145,13552,15292,18772,,,,,,,,,,,
