# Derived from LandSandBoat sql/npc_list.sql
# upstream_commit=cc243c661a1c30c1e7fc4e0612601a7a3f2410ac
# Only normally visible, positioned NPCs with renderable character/model looks.
zone_id,entity_id,entity_index,name,rotation,x,y,z,animation,look_hex
1,16781340,28,Laiteconce,136,4.066,-3.500,-10.450,0,0100010414101720003067400350006000700000
1,16781343,31,Riche,194,5.945,-2.750,13.612,0,0000AD0400000000000000000000000000000000
1,16781346,34,Ineuteniace,197,11.701,-2.000,1.360,0,01000E0312107520663066400050006000700000
2,16785729,321,???,0,145.500,-9.000,-699.000,0,0000340000000000000000000000000000000000
2,16785745,337,Chuaie,134,231.384,-2.000,-531.830,0,010007041410172000300B400350006000700000
2,16785746,338,Ratoulle,103,-133.959,-2.000,60.839,0,010006041410172000300B400350006000700000
2,16785747,339,Felourie,107,-300.134,-1.999,505.016,0,01000B041410262008300A400350006000700000
2,16785749,341,Guilloud,248,-123.770,-5.654,-469.062,0,00008C0000000000000000000000000000000000
2,16785752,344,???,133,120.615,-5.457,-390.133,0,0000340000000000000000000000000000000000
2,16785755,347,Beugungel,189,-333.729,-5.538,475.647,0,01000F0311107520003000400050006000700000
2,16785770,362,Goblin Footprint,49,47.619,-6.104,-737.026,0,0000340000000000000000000000000000000000
2,16785772,364,Anguenet,45,214.672,-2.013,-527.561,0,0100000300100F200F300F400F50006000700000
2,16785773,365,Lourdaude,70,215.597,-1.689,-526.021,0,0000AE0400000000000000000000000000000000
2,16785774,366,Logging Point,0,-131.519,-6.982,-509.398,0,0000770900000000000000000000000000000000
2,16785775,367,Logging Point,0,-203.982,-6.850,-118.981,0,0000770900000000000000000000000000000000
2,16785776,368,Logging Point,0,-177.019,-6.722,-464.397,0,0000770900000000000000000000000000000000
2,16785777,369,Logging Point,0,-242.410,-5.991,-22.328,0,0000770900000000000000000000000000000000
2,16785778,370,Cofisephe,177,210.327,-2.885,-532.511,0,0100010414101720003003400350006000700000
2,16785779,371,Coupulie,131,-313.585,-2.628,490.944,0,0100000414102620083003400350006000700000
2,16785780,372,Echanie,139,-148.424,-2.948,45.675,0,010003041410172000300A400350006000700000
2,16785781,373,???,0,-416.126,0.000,-363.468,0,0000320000000000000000000000000000000000
2,16785782,374,???,240,39.877,-7.397,-565.422,0,0000340000000000000000000000000000000000
2,16785783,375,relic,126,-99.577,-0.016,-514.720,0,0000340000000000000000000000000000000000
2,16785786,378,Ethereal Junction,0,126.090,-6.840,-440.030,0,00008F0900000000000000000000000000000000
2,16785787,379,Ethereal Junction,0,152.890,-8.740,-511.440,0,00008F0900000000000000000000000000000000
2,16785788,380,Ethereal Junction,0,77.980,-6.000,-603.000,0,00008F0900000000000000000000000000000000
2,16785789,381,Survival Guide,192,225.000,-2.000,-528.000,0,0000810900000000000000000000000000000000
3,16789529,25,blank,0,0.000,-3.000,0.000,0,0000320000000000000000000000000000000000
3,16789530,26,Gniyah Mischatt,64,0.033,-3.000,2.725,0,01000D0774108720003008400850006000700000
3,16789534,30,Khots Chalahko,192,0.019,-3.674,-18.782,47,0100060700106620663066406650006000700000
4,16793970,370,???,0,-115.108,0.300,-724.664,0,0000340000000000000000000000000000000000
4,16793982,382,Fheli Lapatzuo,196,488.793,-3.003,709.473,0,0100070714101F20003087400350006000700000
