zone_id,zone_name,npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Phanauet Channel,19,Laiteconce,4124,256,1,144,168,74.33,74.32,74.31,45,7433,7432,7431,7433 7431 7432 27 -1040896 1933311 2171776 -4066
1,Phanauet Channel,20,Luquillaue,4125,256,1,212,384,0.05,74.22,74.29,70,5,7422,7429,5 7429 7422 240 -266452480 1870659583 -2147465104 803
1,Phanauet Channel,22,Riche,4127,256,1,316,384,0.05,74.22,74.29,70,5,7422,7429,5 7429 7422 240 -266452480 1870659583 -2147465104 803
1,Phanauet Channel,25,Ineuteniace,4130,256,1,280,384,0.05,74.22,74.29,70,5,7422,7429,5 7429 7422 240 -266452480 1870659583 -2147465104 803
2,Carpenters' Landing,291,Diving Beetle,8483,256,4,8139,8271,7.68,15.36,12.8,65,768,1536,1280,768 1280 1536 2048 1911296 1911552 1911808 1912064
2,Carpenters' Landing,328,Chuaie,8529,256,2,6856,6916,74.87,72.45,0.03,70,7487,7245,3,7487 3 7245 129 -1040896 1933311 67314560 353370640
2,Carpenters' Landing,329,Ratoulle,8530,256,2,7064,7124,74.87,72.45,0.03,70,7487,7245,3,7487 3 7245 144 -1040896 1933311 67314560 353370640
2,Carpenters' Landing,330,Felourie,8531,256,2,7284,7344,74.87,72.45,0.03,70,7487,7245,3,7487 3 7245 129 -1040896 1933311 67314560 353370640
2,Carpenters' Landing,331,ship,8532,256,1,7492,7540,-1250.42,0.0,727.86,95,-125042,0,72786,-125042 72786 0 2560 32 -2147476480 8388943 1333788700
2,Carpenters' Landing,332,Guilloud,8533,256,29,5212,5304,-60.0,1.16,0.9,35,-6000,116,90,-6000 90 116 0 7268 167 -1811865088 -2047
2,Carpenters' Landing,333,Louverance,8534,256,68,5496,5576,-59.36,-30.0,28.95,90,-5936,-3000,2895,-5936 2895 -3000 13 3000 40 123535 -405042
2,Carpenters' Landing,334,Louverance,8535,256,5,6716,6872,0.13,1.44,74.89,30,13,144,7489,13 7489 144 60 0 7486 1 7485
2,Carpenters' Landing,336,Louverance,8537,256,21,6172,6232,-59.36,-20.0,28.95,105,-5936,-2000,2895,-5936 2895 -2000 60 13 2048 2000 4000
2,Carpenters' Landing,337,Chocobo,8538,256,9,6588,6624,-59.1,2.21,36.08,90,-5910,221,3608,-5910 3608 221 75 -134114304 -1837105153 -2047 -2147469441
2,Carpenters' Landing,351,Ramblix,8553,256,2,7592,7716,73.99,0.6,2.0,70,7399,60,200,7399 200 60 485 1107369984 -266469342 1249902591 2147483632
2,Carpenters' Landing,353,???,8555,256,1,8220,8340,74.77,74.79,74.78,40,7477,7479,7478,7477 7478 7479 1158 1107369984 6095174 1166016896 -491518
2,Carpenters' Landing,354,Anguenet,8556,256,107,11064,11188,1.2,2.01,74.41,70,120,201,7441,120 7441 201 104 -2147476224 553656355 -2147410688 553656355
2,Carpenters' Landing,355,Lourdaude,8557,256,6,11136,11188,1.2,2.01,74.41,70,120,201,7441,120 7441 201 104 -2147476224 553656355 -2147410688 553656355
2,Carpenters' Landing,356,Logging Point,8558,256,1,11308,11348,74.13,74.17,74.15,45,7413,7417,7415,7413 7415 7417 85 -261209600 8388607 -1009280 151224319
2,Carpenters' Landing,360,Cofisephe,8562,256,1,11452,11524,74.61,74.47,3.0,70,7461,7447,300,7461 300 7447 215 -1040896 1933311 18686848 35922816
2,Carpenters' Landing,361,Coupulie,8563,256,1,11756,11828,74.61,74.47,3.0,70,7461,7447,300,7461 300 7447 215 -1040896 1933311 18686848 35922816
2,Carpenters' Landing,362,Echanie,8564,256,1,12060,12132,74.61,74.47,3.0,70,7461,7447,300,7461 300 7447 215 -1040896 1933311 18686848 35922816
2,Carpenters' Landing,366,Perseus,8568,256,12,13592,13636,-2.13,0.0,21.68,35,-213,0,2168,-213 2168 0 1 128 38 92 20119552
2,Carpenters' Landing,368,Ethereal Junctio,8570,256,1,22960,22980,0.23,75.6,75.59,30,23,7560,7559,23 7559 7560 1 0 827 8 15
2,Carpenters' Landing,369,Ethereal Junctio,8571,256,1,24324,24344,0.23,75.6,75.59,30,23,7560,7559,23 7559 7560 1 0 827 8 15
2,Carpenters' Landing,370,Ethereal Junctio,8572,256,1,25688,25708,0.23,75.6,75.59,30,23,7560,7559,23 7559 7560 1 0 827 8 15
2,Carpenters' Landing,371,Survival Guide,8573,256,2,27052,27184,-0.02,76.02,75.87,50,-2,7602,7587,-2 7587 7602 26 27 7601 8 15
3,Manaclipper,18,Gniyah Mischatt,12314,256,1,136,160,72.39,72.38,72.37,45,7239,7238,7237,7239 7237 7238 27 -1040896 1933311 2171776 -4066
4,Bibiki Bay,372,TAKARA_GOB_NPC,16765,256,1,3344,3420,72.48,0.0,0.01,45,7248,0,1,7248 1 0 511 7254 7255 2 6401
4,Bibiki Bay,373,Fheli Lapatzuo,16766,256,2,3108,3140,0.0,72.41,72.42,70,0,7241,7242,0 7242 7241 43 -1040896 67338239 353370640 -2147479548
4,Bibiki Bay,374,Noih Tahparawh,16767,256,1,3200,3228,0.0,72.41,72.42,70,0,7241,7242,0 7242 7241 42 -1040896 67338239 353370640 -2147479548
4,Bibiki Bay,375,ship,16768,256,1,3288,3420,72.48,0.0,0.01,45,7248,0,1,7248 1 0 511 7254 7255 2 6401
4,Bibiki Bay,381,Toh Zonikki,16774,256,1,3380,3420,72.48,0.0,0.01,45,7248,0,1,7248 1 0 511 7254 7255 2 6401
4,Bibiki Bay,382,Clamming Point,16775,256,3,3976,4000,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099399167 4718848
4,Bibiki Bay,383,Clamming Point,16776,256,3,4096,4120,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099464703 4718848
4,Bibiki Bay,384,Clamming Point,16777,256,3,4216,4240,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099530239 4718848
4,Bibiki Bay,385,Clamming Point,16778,256,3,4336,4360,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099595775 4718848
4,Bibiki Bay,386,Clamming Point,16779,256,3,4456,4480,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099661311 4718848
4,Bibiki Bay,387,Clamming Point,16780,256,3,4576,4600,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099726847 4718848
4,Bibiki Bay,388,Clamming Point,16781,256,3,4696,4720,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099792383 4718848
4,Bibiki Bay,389,Clamming Point,16782,256,3,4816,4840,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099857919 4718848
4,Bibiki Bay,391,???,16784,256,1,5192,5268,73.92,0.3,2.19,45,7392,30,219,7392 219 30 3267 7393 7394 7395 7396
4,Bibiki Bay,392,??? Warmachine,16785,256,28,17640,17752,0.32,0.01,40.96,90,32,1,4096,32 4096 1 12 -333712 -766844 -2584 200
4,Bibiki Bay,395,Mame01,16788,256,46,22216,22316,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -347668 -951507 -2853 3180
4,Bibiki Bay,396,Mame02,16789,256,31,22856,22952,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -347068 -951507 -2853 3180
4,Bibiki Bay,397,Mame03,16790,256,34,23488,23584,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -348268 -951507 -2853 3180
4,Bibiki Bay,398,Tori01,16791,256,8,24096,24256,-33.03,0.15,31.8,50,-3303,15,3180,-3303 3180 15 176 0 7391 270 30
4,Bibiki Bay,399,???,16792,256,1,24224,24256,-33.03,0.15,31.8,50,-3303,15,3180,-3303 3180 15 176 0 7391 270 30
4,Bibiki Bay,401,Rohemolipaud,16794,256,17,25300,25460,-32.83,0.0,18.21,35,-3283,0,1821,-3283 1821 0 20 21 26 27 29
4,Bibiki Bay,403,Novice Moogle,16796,256,125,22804,22952,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -347068 -951507 -2853 3180
4,Bibiki Bay,404,Rhalo Davigoh,16797,256,9,28452,28536,75.2,75.22,75.21,45,7520,7522,7521,7520 7521 7522 289 -2147460352 2147483640 2147483640 812346484
4,Bibiki Bay,417,Ramblix,16811,256,2,32572,32696,74.69,0.6,2.0,70,7469,60,200,7469 200 60 485 1107369984 -266469342 1249902591 2147483632
