zone_id,zone_name,entity_id,npc_name,title,status,source_url,reviewed_on,notes
1,Phanauet Channel,16781340,Laiteconce,,pending,,,
1,Phanauet Channel,16781343,Riche,,pending,,,
1,Phanauet Channel,16781346,Ineuteniace,,pending,,,
2,Carpenters' Landing,16785729,???,,not_applicable,,,Unnamed placeholder or door; no NPC role label.
2,Carpenters' Landing,16785745,Chuaie,,pending,,,
2,Carpenters' Landing,16785746,Ratoulle,,pending,,,
2,Carpenters' Landing,16785747,Felourie,,pending,,,
2,Carpenters' Landing,16785749,Guilloud,,pending,,,
2,Carpenters' Landing,16785752,???,,not_applicable,,,Unnamed placeholder or door; no NPC role label.
2,Carpenters' Landing,16785755,Beugungel,,pending,,,
2,Carpenters' Landing,16785770,Goblin Footprint,,pending,,,
2,Carpenters' Landing,16785772,Anguenet,,pending,,,
2,Carpenters' Landing,16785773,Lourdaude,,pending,,,
2,Carpenters' Landing,16785774,Logging Point,,pending,,,
2,Carpenters' Landing,16785775,Logging Point,,pending,,,
2,Carpenters' Landing,16785776,Logging Point,,pending,,,
2,Carpenters' Landing,16785777,Logging Point,,pending,,,
2,Carpenters' Landing,16785778,Cofisephe,,pending,,,
2,Carpenters' Landing,16785779,Coupulie,,pending,,,
2,Carpenters' Landing,16785780,Echanie,,pending,,,
2,Carpenters' Landing,16785781,???,,not_applicable,,,Unnamed placeholder or door; no NPC role label.
2,Carpenters' Landing,16785782,???,,not_applicable,,,Unnamed placeholder or door; no NPC role label.
2,Carpenters' Landing,16785783,relic,,pending,,,
2,Carpenters' Landing,16785786,Ethereal Junction,,pending,,,
2,Carpenters' Landing,16785787,Ethereal Junction,,pending,,,
2,Carpenters' Landing,16785788,Ethereal Junction,,pending,,,
2,Carpenters' Landing,16785789,Survival Guide,,pending,,,
3,Manaclipper,16789529,blank,,not_applicable,,,Unnamed placeholder or door; no NPC role label.
3,Manaclipper,16789530,Gniyah Mischatt,,pending,,,
3,Manaclipper,16789534,Khots Chalahko,,pending,,,
4,Bibiki Bay,16793970,???,,not_applicable,,,Unnamed placeholder or door; no NPC role label.
4,Bibiki Bay,16793982,Fheli Lapatzuo,,pending,,,
4,Bibiki Bay,16793983,Noih Tahparawh,,pending,,,
4,Bibiki Bay,16793987,Pohka Chichiyowahl,,pending,,,
4,Bibiki Bay,16793988,Mep Nhapopoluko,,pending,,,
4,Bibiki Bay,16793990,Toh Zonikki,,pending,,,
4,Bibiki Bay,16793991,Clamming Point,,pending,,,
4,Bibiki Bay,16793992,Clamming Point,,pending,,,
4,Bibiki Bay,16793993,Clamming Point,,pending,,,
4,Bibiki Bay,16793994,Clamming Point,,pending,,,
4,Bibiki Bay,16793995,Clamming Point,,pending,,,
4,Bibiki Bay,16793996,Clamming Point,,pending,,,
4,Bibiki Bay,16793997,Clamming Point,,pending,,,
4,Bibiki Bay,16793998,Clamming Point,,pending,,,
4,Bibiki Bay,16794001,??? Warmachine,,pending,,,
